127.0.0.1 - - [20/May/2022:11:35:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/May/2022:11:36:15 +0900] "GET /1_semi_project/ HTTP/1.1" 200 11853
0:0:0:0:0:0:0:1 - - [20/May/2022:11:36:15 +0900] "GET /1_semi_project/bootstrap-5.1.3-examples/assets/dist/css/bootstrap.min.css HTTP/1.1" 404 900
0:0:0:0:0:0:0:1 - - [20/May/2022:11:36:15 +0900] "GET /1_semi_project/bootstrap-5.1.3-examples/blog/blog.css HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [20/May/2022:11:36:15 +0900] "GET /1_semi_project/images/best_m_img.png HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [20/May/2022:11:36:15 +0900] "GET /1_semi_project/bootstrap-5.1.3-examples/blog/images/logo.png HTTP/1.1" 404 883
0:0:0:0:0:0:0:1 - - [20/May/2022:11:36:15 +0900] "GET /1_semi_project/images/mat_story_img.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/May/2022:11:36:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/May/2022:11:36:23 +0900] "GET /1_semi_project/list1ko.no HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/May/2022:11:36:42 +0900] "GET /1_semi_project/list1ko.no HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/May/2022:11:36:48 +0900] "GET /1_semi_project/list1ko.no HTTP/1.1" 200 -
