127.0.0.1 - - [14/May/2022:16:12:28 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/May/2022:16:12:29 +0900] "GET /00_practice_now/ HTTP/1.1" 200 4847
0:0:0:0:0:0:0:1 - - [14/May/2022:16:12:29 +0900] "GET /00_practice_now/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [14/May/2022:16:12:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/May/2022:16:12:33 +0900] "GET /00_practice_now/jQueryAjaxServlet1?userName=a HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/May/2022:16:12:38 +0900] "POST /00_practice_now/jQueryAjax2 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [14/May/2022:16:12:39 +0900] "POST /00_practice_now/jQueryAjax2 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [14/May/2022:16:12:39 +0900] "POST /00_practice_now/jQueryAjax2 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [14/May/2022:16:12:42 +0900] "GET /00_practice_now/jQueryAjaxServlet1?userName=a HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/May/2022:16:12:45 +0900] "POST /00_practice_now/jQueryAjax2 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [14/May/2022:16:12:52 +0900] "GET /00_practice_now/jQueryAjax5?userNo=1 HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [14/May/2022:16:12:53 +0900] "GET /00_practice_now/jQueryAjax5?userNo=1 HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [14/May/2022:16:13:45 +0900] "GET /00_practice_now/jQueryAjax5?userNo=1 HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [14/May/2022:16:14:22 +0900] "GET /00_practice_now/ HTTP/1.1" 200 4831
0:0:0:0:0:0:0:1 - - [14/May/2022:16:14:25 +0900] "GET /00_practice_now/jQueryAjax5?userNo=1 HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [14/May/2022:16:14:58 +0900] "GET /00_practice_now/ HTTP/1.1" 200 4831
0:0:0:0:0:0:0:1 - - [14/May/2022:16:14:59 +0900] "GET /00_practice_now/ HTTP/1.1" 200 4831
0:0:0:0:0:0:0:1 - - [14/May/2022:16:15:03 +0900] "GET /00_practice_now/jQueryAjax5?userNo=1 HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [14/May/2022:16:15:21 +0900] "GET /00_practice_now/ HTTP/1.1" 200 4831
0:0:0:0:0:0:0:1 - - [14/May/2022:16:15:23 +0900] "GET /00_practice_now/jQueryAjax5?userNo=1 HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [14/May/2022:16:22:42 +0900] "GET /00_practice_now/ HTTP/1.1" 200 4876
0:0:0:0:0:0:0:1 - - [14/May/2022:16:22:48 +0900] "GET /00_practice_now/jQueryAjax5?userNo=1 HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [14/May/2022:16:25:30 +0900] "GET /00_practice_now/ HTTP/1.1" 200 4892
0:0:0:0:0:0:0:1 - - [14/May/2022:16:25:33 +0900] "GET /00_practice_now/jQueryAjaxServlet1?userName=1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/May/2022:16:29:04 +0900] "GET /00_practice_now/ HTTP/1.1" 200 4923
0:0:0:0:0:0:0:1 - - [14/May/2022:16:29:06 +0900] "GET /00_practice_now/jQueryAjaxServlet1?userName=1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/May/2022:16:29:14 +0900] "GET /00_practice_now/jQueryAjaxServlet1?userName=adfas HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/May/2022:16:42:06 +0900] "GET /00_practice_now/jQueryAjaxServlet1?userName=adfas HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/May/2022:16:42:14 +0900] "GET /00_practice_now/jQueryAjax5?userNo=1 HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [14/May/2022:16:42:44 +0900] "GET /00_practice_now/ HTTP/1.1" 200 4975
0:0:0:0:0:0:0:1 - - [14/May/2022:16:42:46 +0900] "GET /00_practice_now/jQueryAjaxServlet1?userName=1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/May/2022:16:43:14 +0900] "POST /00_practice_now/jQueryAjax2 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [14/May/2022:16:43:29 +0900] "GET /00_practice_now/ HTTP/1.1" 200 4979
0:0:0:0:0:0:0:1 - - [14/May/2022:16:43:31 +0900] "POST /00_practice_now/jQueryAjax2 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [14/May/2022:16:43:31 +0900] "POST /00_practice_now/jQueryAjax2 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [14/May/2022:16:43:52 +0900] "GET /00_practice_now/ HTTP/1.1" 200 4983
0:0:0:0:0:0:0:1 - - [14/May/2022:16:43:53 +0900] "POST /00_practice_now/jQueryAjax2 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [14/May/2022:16:44:07 +0900] "GET /00_practice_now/ HTTP/1.1" 200 4984
0:0:0:0:0:0:0:1 - - [14/May/2022:16:44:07 +0900] "POST /00_practice_now/jQueryAjax2 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [14/May/2022:16:44:15 +0900] "POST /00_practice_now/jQueryAjax2 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [14/May/2022:16:45:07 +0900] "GET /00_practice_now/ HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [14/May/2022:16:45:08 +0900] "POST /00_practice_now/jQueryAjax2 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [14/May/2022:16:45:40 +0900] "POST /00_practice_now/jQueryAjax2 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [14/May/2022:16:45:48 +0900] "GET /00_practice_now/ HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [14/May/2022:16:45:50 +0900] "POST /00_practice_now/jQueryAjax2 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [14/May/2022:16:46:00 +0900] "GET /00_practice_now/ HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [14/May/2022:16:46:02 +0900] "POST /00_practice_now/jQueryAjax2 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [14/May/2022:16:46:14 +0900] "GET /00_practice_now/ HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [14/May/2022:16:46:23 +0900] "POST /00_practice_now/jQueryAjax2 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [14/May/2022:16:46:32 +0900] "GET /00_practice_now/ HTTP/1.1" 200 5006
0:0:0:0:0:0:0:1 - - [14/May/2022:16:46:34 +0900] "GET /00_practice_now/jQueryAjax2 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [14/May/2022:16:47:40 +0900] "GET /00_practice_now/ HTTP/1.1" 200 5006
0:0:0:0:0:0:0:1 - - [14/May/2022:16:47:44 +0900] "GET /00_practice_now/jQueryAjax2 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [14/May/2022:16:47:53 +0900] "GET /00_practice_now/jQueryAjax2 HTTP/1.1" 200 16
