127.0.0.1 - - [12/Jun/2022:17:34:45 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:34:46 +0900] "GET /1_MyBatis/ HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:34:46 +0900] "GET /js/jquery-3.6.0.min.js HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:34:46 +0900] "GET /1_MyBatis/resources/mybatis.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:34:46 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:34:52 +0900] "POST /1_MyBatis/login.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:34:52 +0900] "GET /1_MyBatis HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:34:52 +0900] "GET /1_MyBatis/ HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:34:52 +0900] "GET /1_MyBatis/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:34:52 +0900] "GET /1_MyBatis/selectList.bo HTTP/1.1" 200 6337
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:48:36 +0900] "GET /1_MyBatis/search.bo?searchCondition=writer&searchValue=%ED%99%94%EC%9D%B4%ED%8C%85 HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:48:43 +0900] "GET /1_MyBatis/search.bo?searchCondition=writer&searchValue=%ED%99%94%EC%9D%B4%ED%8C%85!! HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:48:56 +0900] "GET /1_MyBatis/search.bo?searchCondition=title&searchValue=%EC%84%9C%EB%B9%84%EC%8A%A4 HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:48:58 +0900] "GET /1_MyBatis/selectList.bo HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:49:00 +0900] "GET /1_MyBatis HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:49:00 +0900] "GET /1_MyBatis/ HTTP/1.1" 200 3450
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:49:02 +0900] "POST /1_MyBatis/login.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:49:02 +0900] "GET /1_MyBatis HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:49:02 +0900] "GET /1_MyBatis/ HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:49:03 +0900] "GET /1_MyBatis/selectList.bo HTTP/1.1" 200 6337
0:0:0:0:0:0:0:1 - - [12/Jun/2022:17:49:13 +0900] "GET /1_MyBatis/search.bo?searchCondition=title&searchValue=%EC%84%9C%EB%B9%84%EC%8A%A4 HTTP/1.1" 200 6233
0:0:0:0:0:0:0:1 - - [12/Jun/2022:18:01:03 +0900] "GET /1_MyBatis/search.bo?searchCondition=title&searchValue=1 HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [12/Jun/2022:18:01:08 +0900] "GET /1_MyBatis/selectList.bo HTTP/1.1" 200 574
0:0:0:0:0:0:0:1 - - [12/Jun/2022:18:01:10 +0900] "GET /1_MyBatis HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:18:01:10 +0900] "GET /1_MyBatis/ HTTP/1.1" 200 3450
0:0:0:0:0:0:0:1 - - [12/Jun/2022:18:01:11 +0900] "GET /1_MyBatis/selectList.bo HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [12/Jun/2022:18:01:17 +0900] "GET /1_MyBatis/selectList.bo HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [12/Jun/2022:18:01:20 +0900] "POST /1_MyBatis/login.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:18:01:20 +0900] "GET /1_MyBatis HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2022:18:01:20 +0900] "GET /1_MyBatis/ HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [12/Jun/2022:18:01:21 +0900] "GET /1_MyBatis/selectList.bo HTTP/1.1" 200 6337
0:0:0:0:0:0:0:1 - - [12/Jun/2022:18:01:26 +0900] "GET /1_MyBatis/search.bo?searchCondition=title&searchValue=1 HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [12/Jun/2022:18:01:31 +0900] "GET /1_MyBatis/search.bo?searchCondition=content&searchValue=1 HTTP/1.1" 200 527
